# 1 1
      0.00000      11.8520    0.0920392
      1.00000      11.6313    0.0921003
      2.00000      11.6957    0.0921849
      3.00000      11.9643    0.0922556
      4.00000      11.7650    0.0923200
      5.00000      11.6677    0.0924218
      6.00000      11.6919    0.0925855
      7.00000      11.4352    0.0928581
      8.00000      11.2992    0.0932782
      9.00000      11.5295    0.0938539
      10.0000      11.2463    0.0946021
      11.0000      11.0594    0.0955676
      12.0000      10.6793    0.0967491
      13.0000      10.5359    0.0979754
      14.0000      10.4494    0.0990027
      15.0000      10.1798    0.0998917
      16.0000      9.82090     0.100963
      17.0000      9.67732     0.102398
      18.0000      9.21345     0.104175
      19.0000      8.89971     0.106255
      20.0000      8.40992     0.108486
      21.0000      8.11483     0.110458
      22.0000      8.02438     0.111699
      23.0000      7.85372     0.112031
      24.0000      8.04622     0.111624
      25.0000      8.22570     0.110721
      26.0000      8.39732     0.109430
      27.0000      8.49605     0.107793
      28.0000      8.99748     0.105903
      29.0000      9.23480     0.103994
      30.0000      9.57122     0.102361
      31.0000      9.89263     0.101116
      32.0000      9.92097     0.100224
      33.0000      10.0250    0.0997054
      34.0000      9.97885    0.0995768
      35.0000      10.2150    0.0997341
      36.0000      9.81157    0.0999361
      37.0000      10.0589     0.100024
      38.0000      10.0366     0.100073
      39.0000      9.88274     0.100169
      40.0000      9.95001     0.100230
      41.0000      9.93254     0.100073
      42.0000      9.99264    0.0996499
      43.0000      10.0456    0.0990311
      44.0000      10.3528    0.0983430
      45.0000      10.6239    0.0976712
      46.0000      10.7173    0.0970350
      47.0000      10.7174    0.0964282
      48.0000      10.9092    0.0958243
      49.0000      10.9749    0.0951958
      50.0000      11.1911    0.0945360
      51.0000      11.3143    0.0938218
      52.0000      11.3308    0.0930511
      53.0000      11.7891    0.0922236
      54.0000      11.9225    0.0913311
      55.0000      12.2608    0.0904313
      56.0000      12.6589    0.0895612
      57.0000      12.5011    0.0886908
      58.0000      12.9242    0.0878315
      59.0000      13.1266    0.0871161
      60.0000      13.1069    0.0867194
      61.0000      13.3905    0.0866953
      62.0000      13.2695    0.0869285
      63.0000      12.9646    0.0872221
      64.0000      13.0376    0.0873939
      65.0000      13.2114    0.0873804
      66.0000      13.1223    0.0872719
      67.0000      13.1650    0.0871945
      68.0000      13.0233    0.0872570
      69.0000      13.0323    0.0875581
      70.0000      12.9517    0.0881508
      71.0000      12.7212    0.0889497
      72.0000      12.3569    0.0898112
      73.0000      12.2781    0.0906132
      74.0000      11.8600    0.0913149
      75.0000      11.8620    0.0919961
      76.0000      11.5508    0.0927538
      77.0000      11.2424    0.0936376
      78.0000      11.2025    0.0946418
      79.0000      10.7453    0.0956645
      80.0000      10.7198    0.0965216
      81.0000      10.5039    0.0970847
      82.0000      10.5691    0.0973957
      83.0000      10.5723    0.0975216
      84.0000      10.4123    0.0974251
      85.0000      10.7288    0.0970937
      86.0000      10.7312    0.0965935
      87.0000      10.8274    0.0959958
      88.0000      10.8779    0.0953716
      89.0000      11.0742    0.0948072
      90.0000      11.4351    0.0942644
      91.0000      11.3226    0.0936637
      92.0000      11.5726    0.0930059
      93.0000      11.5918    0.0923073
      94.0000      11.7779    0.0915448
      95.0000      12.1573    0.0907351
      96.0000      12.5823    0.0899925
      97.0000      12.5467    0.0894718
      98.0000      12.5621    0.0892639
      99.0000      12.3116    0.0893153
      100.000      12.5800    0.0895089
      101.000      12.5499    0.0897063
      102.000      12.4408    0.0897576
      103.000      12.3187    0.0896216
      104.000      12.5760    0.0894072
      105.000      12.4875    0.0892188
      106.000      12.4848    0.0890197
      107.000      12.5287    0.0886937
      108.000      12.8887    0.0882556
      109.000      12.9463    0.0878421
      110.000      13.0328    0.0875591
      111.000      13.2331    0.0874189
      112.000      13.1068    0.0874165
      113.000      13.0240    0.0875312
      114.000      12.8882    0.0877294
      115.000      12.8790    0.0879918
      116.000      12.8959    0.0883059
      117.000      12.6634    0.0886585
      118.000      12.4469    0.0890099
      119.000      12.5087    0.0892957
      120.000      12.5121    0.0894772
      121.000      12.4591    0.0895498
      122.000      12.6241    0.0895314
      123.000      12.5041    0.0894309
      124.000      12.4327    0.0892606
      125.000      12.6621    0.0890624
      126.000      12.7625    0.0888862
      127.000      12.9621    0.0887382
      128.000      12.7621    0.0886156
      129.000      12.9214    0.0886026
      130.000      12.6813    0.0888089
      131.000      12.4662    0.0892739
      132.000      12.2651    0.0899507
      133.000      12.2224    0.0907822
      134.000      12.0585    0.0916789
      135.000      11.7600    0.0924836
      136.000      11.4879    0.0931173
      137.000      11.2207    0.0936178
      138.000      11.3950    0.0940297
      139.000      11.2781    0.0943260
      140.000      11.1356    0.0944032
      141.000      11.4244    0.0942221
      142.000      11.3428    0.0938740
      143.000      11.4297    0.0935168
      144.000      11.3125    0.0933194
      145.000      11.4175    0.0933656
      146.000      11.5941    0.0936050
      147.000      11.4940    0.0939087
      148.000      11.3373    0.0941707
      149.000      11.3460    0.0942463
      150.000      11.1821    0.0939624
      151.000      11.5908    0.0932287
      152.000      11.7160    0.0920930
      153.000      12.2084    0.0907386
      154.000      12.5707    0.0893917
      155.000      12.7879    0.0882323
      156.000      13.0456    0.0873321
      157.000      13.2796    0.0866757
      158.000      13.3855    0.0862314
      159.000      13.4971    0.0859381
      160.000      13.8179    0.0856773
      161.000      13.8419    0.0853203
      162.000      13.8779    0.0848474
      163.000      13.9597    0.0843235
      164.000      14.2008    0.0838318
      165.000      14.4594    0.0834580
      166.000      14.6831    0.0832250
      167.000      14.4196    0.0831116
      168.000      14.4471    0.0831135
